Sentence,Original emoji,output emoji
I have to shit real bad lol,"[':persevering_face:', ':pile_of_poo:', ':thumbs_down:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
he’s in his red era😭❤️,"[':man:', ':backhand_index_pointing_right:', ':red_heart:']", 😍 😴 👉 👉 👋 👋 😍 👋 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
nothing feels the same but when it goes ..... SALT AIR,"[':persevering_face:', ':crying_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Sometimes I wish I were a little kid again, skinned knees are easier to fix than broken hearts","[':folded_hands:', ':man:', ':broken_heart:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Salut 🤡🤡,[':ghost:'], 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
what’s a very solid place to get piercings in Houston?,"[':thinking_face:', ':backhand_index_pointing_right:', ':church:']", 😍 😴 😍 😴 🥰 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
what’s my brand,[':thinking_face:'], 😍 😴 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
ya know I think my favorite thing about life is when you ask God for a sign and he gives you exactly what you need,"[':smiling_face_with_heart-eyes:', ':man:', ':speech_balloon:', ':thinking_face:', ':folded_hands:']", 😍 😴 🌞 😴 🌞 😴 👋 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Mmmm stockings and arm warmers. These make everyone 10x hotter.,"[':man:', ':woman:', ':fire:']", 😍 🌞 🌞 🌞 🌞 🌞 🌞 🌞 👋 😴 🌞 😍 😴 🌞 😴 🌞 😴 😴 😴
Oh my,"[':face_with_tears_of_joy:', ':grinning_face_with_smiling_eyes:', ':thumbs_up:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
💀 I really always thought it was “Belks”,[':speech_balloon:'], 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
never seen a good looking genderfluid person 🙄,"[':cross_mark:', ':eyes:', ':thumbs_up:', ':man:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Drop handles and follow me for quick follow back 👇🔥🏓,"[':person_running:', ':backhand_index_pointing_right:', ':fire:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
IM CRYING WHY THE FUCK,"[':crying_face:', ':thinking_face:', ':persevering_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
brendon urie queen of k-pop,"[':thumbs_up:', ':woman:', ':musical_note:']", 😍 😴 🌞 🌞 🌞 😴 🌞 😴 👋 😴 👋 😴 😍 👋 😍 😍 😍 😴 😴
"I adore you, my Goddess of Love!! 🙌🏻😻💖🐚","[':smiling_face_with_heart-eyes:', ':woman:', ':red_heart:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m glad I went outside last night even though I was tired.,"[':person_running:', ':first_quarter_moon_face:', ':sleeping_face:']", 😴 😴 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
♪You did a good job\nWatching those little screens\nIt warms my servos and circuits\nTo hear some fresh screams♪,"[':thumbs_up:', ':mobile_phone:', ':fire:', ':red_heart:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Loving, authentic, breathtaking","[':red_heart:', ':thumbs_up:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
alina attracts weirdos,"[':woman:', ':backhand_index_pointing_right:', ':face_vomiting:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 
i better get an iced coffee first” - me before doing any menial task,"[':cooking:', ':sleeping_face:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Blake Havard - Wave Goodbye,"[':man:', ':waving_hand:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Man of the Match is RADEBE,"[':man:', ':fire:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
2022 crypto gon be crazyyy,"[':money_bag:', ':fire:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"the doctor's dead, he told me he always hated you","[':skull:', ':man:', ':speech_balloon:', ':face_vomiting:']", 😍 😴 🌞 🌞 🌞 🌞 🌞 😴 😴 👋 👋 😴 👋 😴 😴 👋 😴 😴 😴
I haven’t drove my truck so I didn’t  know if I had gas he woke before he left for work and filled my gas tank up,"[':cross_mark:', ':automobile:', ':man:', ':briefcase:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
bruhh this! i never knew how to put it into words lmaoo,"[':persevering_face:', ':mobile_phone:', ':speech_balloon:']", 😍 😴 🌞 🌞 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴
bunal reveal pls,[':folded_hands:'], 😍 😴 👉 👉 👉 👉 👉 👉 👉 👉 💬 👉 🍳 
yeaa. i'm strong. but not all the time.,"[':thumbs_up:', ':cross_mark:', ':alarm_clock:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Luggage left unattended may be donated to the post-industrial underclass.,"[':briefcase:', ':backhand_index_pointing_right:', ':money_bag:', ':church:']", 😍 😴 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Obtuse and stupid I think your talking about your own fandom fren,"[':man:', ':speech_balloon:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Ugh, this is so good!","[':face_with_tears_of_joy:', ':smiling_face_with_hearts:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Invest in your Girl because if you go broke it’s her who’ll feed you not your niggas 💯🤷🏽‍♂️,"[':money_bag:', ':backhand_index_pointing_right:', ':woman:', ':broken_heart:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I'll be back soon ~~Bot,"[':alarm_clock:', ':house:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Bitch be mad as fuck when a nigga pull out😂,"[':thumbs_down:', ':woman:', ':pouting_face:', ':man:', ':person_running:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Ummmm find a job but I’ll still take a stimi fuck you talking bout privileged ass how u mad at free money lmao,"[':eyes:', ':briefcase:', ':pouting_face:', ':speech_balloon:', ':money_bag:']", 😍 😴 🌞 🌞 🌞 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"It b the weird energy fa me, eww that’s why i keeps my distance from folks !","[':face_vomiting:', ':thinking_face:', ':man:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"say what you want about coi, but i been sing that freestyle everyday since i first heard it","[':speech_balloon:', ':musical_note:', ':grinning_face_with_smiling_eyes:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Anyway 28 is good age,"[':calendar:', ':thumbs_up:']", 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Cue the democratic infighting. Nice job guys.,"[':thumbs_up:', ':man:']", 😍 😴 🌞 😴 😴 😴 👋 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I can’t sleep in once Im up I’m up,"[':cross_mark:', ':sleeping_face:', ':fire:']", 😍 😴 🌞 👉 👋 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
those bands on his bicep are gonna explode from there,"[':musical_note:', ':fire:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 👋 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴
Exactly my point,"[':OK_hand:', ':backhand_index_pointing_right:', ':speech_balloon:']", 😍 🥰 😍 👉 🌞 😴 😍 😴 😴 👋 😴 👋 😴 😴 😴 😴 😴 😴 😴
agustus please be nice yah! 🙆‍♀️💖🥰🪄,"[':calendar:', ':folded_hands:', ':thumbs_up:', ':grinning_face_with_smiling_eyes:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I MISSED SO MUCH WHILE I WAS ASLEEP THSI IS TOO MUCH,"[':smiling_face_with_heart-eyes:', ':sleeping_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Afternoon Ruby!,"[':grinning_face_with_smiling_eyes:', ':man:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’ll have a 4 year old in 3 days 😢,"[':calendar:', ':crying_face:']", 😍 🥰 🌞 👉 🌞 😴 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴
Try to tell me strong Uranus in your chart doesnt make you look like this 👽,"[':speech_balloon:', ':man:', ':cross_mark:', ':face_vomiting:']", 😍 😴 🌞 🌞 🌞 👋 😴 😴 👋 😴 😴 👋 😍 😴 😴 😴 👋 😴 😴
So many pics \nSo much exciting things coming up ✌🏻 I’ve been sworn to secrecy 👀👀,"[':folded_hands:', ':smiling_face_with_heart-eyes:', ':thumbs_up:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
thinking about how surreal it was when roadtrip dropped oh my god,"[':speech_balloon:', ':automobile:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Nah man that hurts smh,"[':man:', ':broken_heart:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Villa player back in Villa training...  nothing to see here,"[':man:', ':video_game:', ':cross_mark:', ':eyes:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
soup time,"[':cooking:', ':alarm_clock:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Damn, Lollapalooza fired Da Baby. Nigga had too much dip on his chip. 🤦🏾‍♀️🤣","[':face_with_tears_of_joy:', ':woman:', ':cooking:']", 😍 🌞 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I just want a good life,[':folded_hands:'], 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This Joneser agrees. None of them are to be trusted.,"[':man:', ':thumbs_up:', ':cross_mark:', ':man:', ':pouting_face:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
A gone girl 🥺♥️,"[':alarm_clock:', ':cross_mark:', ':woman:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I love Elena so much because she’ll let me cry it out and then roast me in the same 5 breaths,"[':red_heart:', ':woman:', ':backhand_index_pointing_right:', ':crying_face:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
sunmi’s allegiance to the moon and misandrist agenda is v pleasing to me!! I will eat it up every time 🤝,"[':woman:', ':speech_balloon:', ':grinning_face_with_smiling_eyes:', ':cooking:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 👋 👋 👉 👋 😴 😴 😴 😴 😴 😴
nicki must’ve changed her stage name to beyonce cause that’s a whole beyhive.,"[':man:', ':backhand_index_pointing_right:', ':musical_note:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Big stepper ! I’m so focused on my life and goals I can’t be touched.,"[':thumbs_up:', ':fire:', ':waving_hand:']", 😍 😴 🌞 👋 😴 😴 👋 👋 😴 😴 👋 😴 😴 👋 😴 😴 😴 😴 😴
This nigga be sayin anythingggg,"[':man:', ':speech_balloon:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 👋 😍 🌞 😴 😴 😴 😴 😴 😴
Damn it’s my bday tomorrow I’m single 🥺🥺🥺,"[':persevering_face:', ':calendar:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 👉 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
POV: You just found your twin flame at a festival but your friends are ready to leave.,"[':man:', ':party_popper:', ':man:', ':person_running:', ':waving_hand:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"It’s not beria, it’s just shows how i truly care about your existence in my life","[':cross_mark:', ':backhand_index_pointing_right:', ':red_heart:', ':smiling_face_with_hearts:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I am winning in life right now,"[':thumbs_up:', ':fire:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
fuck me innocently with a drill press and call me your cumslut,"[':persevering_face:', ':speech_balloon:', ':backhand_index_pointing_right:', ':woman:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
guys he loved the gift i got him 🥺🥺🥺\n\ni mean ofc he did it was from me hehe,"[':man:', ':red_heart:', ':backhand_index_pointing_right:', ':man:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 🌞 🌞 🌞 👋 👋 😴 👋 😴 🌞 😴 🌞 😴 🌞 😴 😴
In there recording a bible scripture,"[':musical_note:', ':church:']", 😍 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Just go to a thrift store lol,"[':person_running:', ':backhand_index_pointing_right:', ':church:', ':grinning_face_with_smiling_eyes:']", 😍 😴 😍 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I turn 27 in a week and I am not okay with officially being in my late twenties.,"[':calendar:', ':persevering_face:', ':thumbs_down:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"and blocking is annoying too,,","[':cross_mark:', ':persevering_face:', ':pouting_face:']", 😍 😴 👉 👉 👉 👉 👋 👋 😍 🌞 😍 😴 🌞 😴 🥰 😴 🥰 😴 🥰
hot choclety Star Wars,"[':fire:', ':eyes:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Redvelvet did a suprise special vlive and they are complete OT5 forever🥺,"[':man:', ':party_popper:', ':thumbs_up:', ':alarm_clock:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
The delusion 😵‍💫,"[':face_vomiting:', ':persevering_face:', ':person_facepalming:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Maria almost misyarned🤭,"[':woman:', ':person_facepalming:']", 😍 😴 🌞 🌞 🌞 😴 😴 👋 😴 👉 👉 👉 👉 👉 👋 👋 😍 👋 😍
Let’s hope today is much better,"[':man:', ':folded_hands:', ':thumbs_up:']", 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
And a large iced coffee with cream only…..-a large coke? Wuh..n..naw,[':cooking:'], 🌞 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
*spends $800 on high quality 4k camera*\n\n*puts filter on video to make it look like it was filmed in the 70s*,"[':money_bag:', ':backhand_index_pointing_right:', ':mobile_phone:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
casamigos be having a bitch feeling everything 😂,"[':woman:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
And I cant stop smiling because of him 😭,"[':cross_mark:', ':person_running:', ':grinning_face_with_smiling_eyes:', ':backhand_index_pointing_right:', ':man:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I thought I was the only one 😭😭,"[':persevering_face:', ':crying_face:', ':broken_heart:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"How many years are we putting up with this deadwood, what length of contract did Wenger give Elneny ffs","[':calendar:', ':man:', ':woman:', ':thinking_face:']", 😍 😴 😴 👉 👉 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴
You people use to pass your boundary on this app. Iya Baba e ni bastard,"[':man:', ':person_running:', ':mobile_phone:', ':ghost:']", 😍 😴 🌞 🌞 🌞 🌞 😴 😴 👋 😴 🌞 🌞 🌞 😴 🌞 😴 🌞 🌞 🌞
